id,tokens,ner_tags
54,"['An' 'anatomical' 'and' 'histochemical' 'study' 'has' 'been' 'undertaken'
 'and' 'as' 'a' 'result' 'emphasis' 'is' 'given' 'to' 'recent'
 'hypotheses' 'that' 'suggest' 'there' 'are' 'similarities' 'with' 'Type'
 'IV' 'glycogen' 'storage' 'disease' '(' 'Andersen' ""'"" 's' 'disease' ')'
 'which' ',' 'although' 'clinically' 'distinct' ',' 'has' 'the' 'same'
 'enzyme' 'defect' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0]"
55,"['All' 'groups' 'were' 'tested' 'in' 'a' 'Hebb' '-' 'Williams' 'maze' 'at'
 '100' 'approximately' '10' 'days' 'of' 'age' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
56,"['Erythromycin' 'and' 'clindamycin' 'resistance' 'in' 'Corynebacterium'
 'diphtheriae' 'from' 'skin' 'lesions' '.']",[0 0 0 0 0 0 0 0 0 0 0]
57,"['Imposed' 'angular' 'displacements' 'of' 'monkey' ""'"" 's' 'wrist'
 'produce' 'three' 'major' 'peaks' 'of' 'activity' '(' 'terms' 'M1' ','
 'M2' ',' 'and' 'M3' 'peaks' ')' 'in' 'the' 'averaged' 'gross' 'EMG'
 'activity' 'ot' 'the' 'stretched' 'muscles' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
58,['Hemolytic' 'disease' 'of' 'African' 'newborn' '.'],[0 0 0 0 0 0]
59,"['In' 'this' 'animal' ',' 'infected' 'with' 'what' 'was' 'judged'
 'previously' 'to' 'be' 'the' 'less' 'virulent' 'of' 'the' 'two' 'T' '.'
 'cruzi' 'stocks' 'used' '(' ""'"" 'strain' '7' ""'"" ')' ',' 'there' 'was'
 'severe' 'myocarditis' ',' 'with' 'myofibre' 'degeneration' ',' 'and'
 'lesions' 'of' 'the' 'oesophagus' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]"
60,"['The' 'majority' 'of' 'MRF' 'units' 'were' 'behaviorally' 'incongruent'
 ';' 'in' 'the' 'most' 'frequently' 'observed' 'case' ',' 'their'
 'activity' 'failed' 'to' 'change' 'reliably' 'when' 'behavior'
 'habituated' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
61,"['Variability' 'within' 'Down' ""'"" 's' 'syndrome' '(' 'trisomy' '-' '21'
 ')' ':' 'empirically' 'observed' 'sex' 'differences' 'in' 'IQs' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
62,['VII' '.'],[0 0]
63,"['Several' 'demographic' 'indices' 'of' 'isolated' 'populations' 'in'
 'Uzbekistan']",[0 0 0 0 0 0 0 0]
64,"['2' '.' '-' '-' 'concepts' 'of' 'higher' 'nervous' 'function' 'in' 'the'
 'USSR' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0]
65,"['The' 'maintenance' 'of' 'increased' 'myocardial' 'capillary' 'density'
 'required' 'a' 'similar' 'amount' 'of' 'exercise' ',' 'and' 'at' 'least'
 '1' 'h' 'of' 'exercise' 'once' 'a' 'week' 'was' 'necessary' 'to'
 'maintain' 'the' 'enlargement' 'of' 'ECA' '.' '20']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
66,"['These' 'observations' 'have' 'led' 'us' 'to' 'conclude' 'that' 'an'
 'elevated' 'VIII' '-' 'ratio' 'is' 'a' 'very' 'sensitive' 'indicator'
 'of' 'intravascular' 'coagulation' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
67,"['Eight' 'hours' 'after' 'the' 'administration' 'of' 'colchicine' ','
 'the' 'serum' 'ceruloplasmin' 'level' 'began' 'to' 'rise' 'again' 'in'
 'female' 'rats' ',' 'but' 'not' 'in' 'male' 'rats' '.']",[0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
68,"['Radioimmunoassays' 'of' 'pregnenolone' ',' 'progesterone' ','
 'dehydroepiandrosterone' '(' 'DHA' ')' '16' 'alpha' '-' 'hydroxy' '-'
 'DHA' ',' 'estriol' ',' 'and' 'cortisol' 'were' 'performed' 'on' 'a'
 'total' 'of' '0' ';' '1' 'ml' ';' 'of' 'fetal' 'plasma' ',' 'collected'
 'during' 'the' 'course' 'of' 'normal' 'vaginal' 'delivery' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]"
69,"['In' 'only' 'two' 'patients' 'were' 'we' 'able' 'to' 'demonstrate'
 'changes' 'suggestive' 'of' 'pulmonary' 'metastases' 'any' 'earlier'
 'with' 'a' '99mTc' '-' 'EHDP' 'scan' 'than' 'with' 'chest' 'radiographs'
 'and' 'one' 'of' 'these' 'resolved' 'spontaneously' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
70,"['The' 'majority' 'of' 'tumors' 'occurred' 'in' 'the' 'nasal' 'cavities'
 ',' 'although' 'significant' 'incidences' 'were' 'also' 'found' 'in'
 'the' 'larynx' ',' 'trachea' 'and' 'stem' 'bronchi' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
71,['Prediction' 'of' 'the' 'times' 'of' 'sandfly' 'development'],[0 0 0 0 0 0 0]
72,"['Native' 'human' 'fibrinogen' 'was' 'brought' 'to' 'coagulation' 'by'
 'adding' 'thrombin' '.']",[0 1 2 0 0 0 0 0 0 1 0]
73,"['No' 'post' '-' 'operative' 'haemorrhages' 'from' 'the' 'prostheses'
 'were' 'observed' '.']",[0 0 0 0 0 0 0 0 0 0 0]
74,"['The' 'Southern' 'technique' 'allowed' 'a' 'further' 'localization' 'of'
 'the' 'region' 'of' 'most' 'extensive' 'transcription' 'to' 'a' '1' '.'
 '8' 'kb' 'HindIII' '-' 'EcoRI' 'fragment' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0]
75,"['Accepting' 'arbitrarily' 'chosen' 'limits' 'of' 'maximized' 'errors'
 'of' '+' '/' '-' '10' '%' ',' 'it' 'could' 'be' 'shown' 'that' 'the'
 'system' 'did' 'not' 'work' 'acceptably' 'when' 'the' 'mean' 'carbon'
 'dioxide' 'concentration' 'was' 'below' '1' '.' '5' 'vol' '.' '%'
 'within' 'the' 'fresh' 'gas' 'flow' 'rates' '(' '2' '.' '2' '-' '-' '7'
 '.' '7' '1' 'min' '-' '1' ')' 'and' 'the' 'range' 'of' 'minute'
 'ventilation' '(' '4' '-' '-' '10' '1' 'min' '-' '1' ')' 'employed' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
76,"['SV' 'increased' 'less' 'in' 'SHR' ',' 'mainly' 'reflecting' 'the'
 'reduced' 'diastolic' 'compliance' 'of' 'the' 'hypertrophied' 'SHR'
 'left' 'ventricle' 'and' 'the' 'consequent' 'rightward' 'shift' 'of'
 'its' 'Frank' '-' 'Starling' 'curve' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
77,"['The' 'carcass' 'of' 'a' 'great' 'horned' 'owl' '(' 'Bubo' 'virginianus'
 ')' ',' 'which' 'had' 'been' 'found' 'moribund' 'in' 'southern' 'Ontario'
 ',' 'was' 'presented' 'for' 'necropsy' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
78,"['The' 'inner' 'ears' 'were' 'exposed' 'by' 'microdissection' ',' 'and'
 'the' 'vestibular' 'sensory' 'regions' 'were' 'either' 'sectioned' 'and'
 'studied' 'with' 'light' 'or' 'electron' 'microscopy' ',' 'or' 'prepared'
 'and' 'studied' 'with' 'the' 'surface' 'specimen' 'technique' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
79,"['Patulin' 'is' 'extracted' 'from' 'apple' 'butter' 'samples' 'with'
 'ethyl' 'acetate' 'and' 'the' 'extract' 'is' 'cleaned' 'up' 'on' 'a'
 'silica' 'gel' 'column' ',' 'using' 'benzene' '-' 'ethyl' 'acetate' '('
 '75' '+' '25' ')' 'as' 'the' 'eluant' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
80,['Steroid' 'glucuronides' 'in' 'amniotic' 'fluid' 'at' 'term' '.'],[0 0 0 0 0 0 0 0]
81,"['The' 'matrix' 'surrounding' 'the' 'clusters' 'either' 'showed' 'a'
 'normal' 'morphology' 'or' 'a' 'homogeneous' 'appearance' ',' 'within'
 'which' 'faint' 'cross' 'striations' 'but' 'no' 'distinctly' 'fibrillar'
 'outlines' 'could' 'be' 'identified' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
82,"['Riboflavin' 'did' 'not' 'affect' 'the' 'percentage' 'of' 'aflatoxin' '-'
 'treated' 'animals' 'with' 'abnormal' 'urinary' 'excretion' 'patterns'
 ',' 'but' 'did' 'increase' 'the' 'magnitude' 'of' 'the' 'disturbances'
 'in' 'elimination' 'of' 'kynurenic' 'and' 'xanthurenic' 'acids' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
83,"['Polyglactin' '910' 'suture' 'absorption' 'and' 'the' 'role' 'of'
 'cellular' 'enzymes' '.']",[0 0 0 0 0 0 0 0 0 0 0]
84,"['The' 'incidence' 'of' 'DNCB' 'reactions' 'was' '78' 'per' 'cent' 'for'
 'Stage' 'I' 'and' 'II' 'cancers' '(' '37' 'patinets' ')' ',' '73' 'per'
 'cent' 'for' 'resectable' 'Stage' 'III' 'cancer' '(' '22' 'patients' ')'
 ',' 'and' '66' 'per' 'cent' 'in' 'patients' 'with' 'unresectable' 'or'
 'inoperable' 'Stage' 'III' 'cancer' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0]"
85,"['Studies' 'of' 'lipoproteins' 'should' ',' 'however' ',' 'be' 'made' 'in'
 'children' 'from' 'families' 'known' 'to' 'have' 'FH' 'or' 'early'
 'coronary' 'heart' 'disease' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
